dynamic_dns_domains,isDynDNS
*dynamic-dns.net,True
*epac.to,True
*longmusic.com,True
*compress.to,True
*wikaba.com,True
*zzux.com,True
*dumb1.com,True
*herokuapp.com,True
*1dumb.com,True
*onedumb.com,True
*wha.la,True
*youdontcare.com,True
*yourtrap.com,True
*2waky.com,True
*sexidude.com,True
*mefound.com,True
*organiccrap.com,True
*toythieves.com,True
*justdied.com,True
*jungleheart.com,True
*mrbasic.com,True
*mrbonus.com,True
*x24hr.com,True
*dns04.com,True
*dns05.com,True
*zyns.com,True
*my03.com,True
*fartit.com,True
*itemdb.com,True
*instanthq.com,True
*xxuz.com,True
*jkub.com,True
*itsaol.com,True
*faqserv.com,True
*jetos.com,True
*qpoe.com,True
*qhigh.com,True
*vizvaz.com,True
*mrface.com,True
*isasecret.com,True
*mrslove.com,True
*otzo.com,True
*sellclassics.com,True
*americanunfinished.com,True
*serveusers.com,True
*serveuser.com,True
*freetcp.com,True
*ddns.info,True
*ns01.info,True
*ns02.info,True
*myftp.info,True
*mydad.info,True
*mymom.info,True
*mypicture.info,True
*myz.info,True
*squirly.info,True
*toh.info,True
*xxxy.info,True
*freewww.info,True
*freeddns.com,True
*myddns.com,True
*dynamicdns.biz,True
*ns01.biz,True
*ns02.biz,True
*xxxy.biz,True
*sexxxy.biz,True
*freewww.biz,True
*www1.biz,True
*dhcp.biz,True
*edns.biz,True
*ftp1.biz,True
*mywww.biz,True
*gr8domain.biz,True
*gr8name.biz,True
*ftpserver.biz,True
*wwwhost.biz,True
*moneyhome.biz,True
*port25.biz,True
*esmtp.biz,True
*sixth.biz,True
*ninth.biz,True
*got-game.org,True
*bigmoney.biz,True
*dns2.us,True
*dns1.us,True
*ns02.us,True
*ns01.us,True
*almostmy.com,True
*ocry.com,True
*ourhobby.com,True
*pcanywhere.net,True
*ygto.com,True
*ddns.me.uk,True
*ddns.ms,True
*dynamicdns.me.uk,True
*dynamicdns.org.uk,True
*ddns.us,True
*gettrials.com,True
*4mydomain.com,True
*25u.com,True
*4dq.com,True
*4pu.com,True
*3-a.net,True
*dsmtp.com,True
*mynumber.org,True
*ns1.name,True
*ns2.name,True
*ns3.name,True
*changeip.name,True
*ddns.name,True
*rebatesrule.net,True
*ezua.com,True
*sendsmtp.com,True
*trickip.net,True
*trickip.org,True
*dnsrd.com,True
*lflinkup.com,True
*lflinkup.net,True
*lflinkup.org,True
*lflink.com,True
*dns-dns.com,True
*proxydns.com,True
*myftp.name,True
*dyndns.pro,True
*changeip.net,True
*mysecondarydns.com,True
*changeip.org,True
*dns-stuff.com,True
*dynssl.com,True
*mylftv.com,True
*mynetav.net,True
*mynetav.org,True
*dynamicdns.co.uk,True
*ikwb.com,True
*acmetoy.com,True
*ddns.mobi,True
*dnset.com,True
*authorizeddns.net,True
*authorizeddns.org,True
*authorizeddns.us,True
*cleansite.biz,True
*cleansite.info,True
*cleansite.us,True
*https443.net,True
*https443.org,True
*mypop3.net,True
*mypop3.org,True
*ssl443.org,True
*iownyour.biz,True
*iownyour.org,True
*onmypc.biz,True
*onmypc.info,True
*onmypc.net,True
*onmypc.org,True
*onmypc.us,True
*000webhost.com,True
*serveftp.com,True
*0rg.fr,True
*1366.co,True
*1866.co,True
*eatuo.com,True
*1s.fr,True
*2010.tk,True
*2288.org,True
*codns.com,True
*3322.net,True
*3322.org,True
*3322.org.cn,True
*345.pl,True
*3d-game.com,True
*4irc.com,True
*5166.info,True
*62ip.net,True
*6600.org,True
*66ip.net,True
*68ip.net,True
*7766.org,True
*8800.org,True
*8866.org,True
*8s.nl,True
*9966.org,True
*aa.am,True
*adultdns.net,True
*ae.am,True
*aelita.fr,True
*air.ai,True
*altervista.org,True
*aq.pl,True
*ass0.fr,True
*assexyas.com,True
*asso.st,True
*at-band-camp.net,True
*at.gg,True
*at.tc,True
*at.tf,True
*ath.cx,True
*athersite.com,True
*athissite.com,True
*au.ms,True
*au.tc,True
*auxlang.net,True
*avssk.com,True
*azote.org,True
*b0ne.com,True
*barrel-of-knowledge.info,True
*barrell-of-knowledge.info,True
*bbsindex.com,True
*be.ma,True
*be.tc,True
*bee.pl,True
*bestdeals.at,True
*better-than.tv,True
*bg.tc,True
*bg.tf,True
*bij.pl,True
*bitferret.com,True
*bitferret.org,True
*biz.br.ms,True
*biz.br.tc,True
*biz.nf,True
*biz14.com,True
*blogdns.com,True
*blogdns.net,True
*blogdns.org,True
*blogist.net,True
*blogner.com,True
*blogner.net,True
*blogsite.org,True
*blogsyte.com,True
*boldlygoingnowhere.org,True
*bounceme.net,True
*box.tl,True
*br.ms,True
*br.tc,True
*brasilia.me,True
*broke-it.net,True
*buyshouses.net,True
*byinter.net,True
*bz.cm,True
*c0m.at,True
*c0m.li,True
*c4.fr,True
*ca.tf,True
*cable-modem.org,True
*cc.ai,True
*cd.am,True
*ce.ms,True
*cechire.com,True
*certaindns.org,True
*ch.gg,True
*ch.ma,True
*ch.tc,True
*ch.tf,True
*ch.vu,True
*changeip.com,True
*chatnook.com,True
*check-it-out.nl,True
*cicp.net,True
*ciscofreak.com,True
*cixx6.com,True
*cjb.net,True
*cn.ms,True
*co.at.gg,True
*co.at.tc,True
*co.at.tf,True
*co.be,True
*co.cc,True
*co.nf,True
*co.nr,True
*co.tv,True
*co.uk.tc,True
*co.za,True
*codisk.com,True
*codisk.net,True
*collegefan.org,True
*com.au.ms,True
*com.au.tc,True
*com.br.ms,True
*com.br.tc,True
*com.net.sc,True
*comexe.cn,True
*comexe.net,True
*comeze.com,True
*comli.com,True
*comoj.com,True
*comuf.com,True
*comule.com,True
*comuv.com,True
*comxa.com,True
*comyr.com,True
*comze.com,True
*coom.in,True
*couchpotatofries.org,True
*cp.cx,True
*cu.cc,True
*cuu.cc,True
*cw.cm,True
*cx.cc,True
*cydisk.com,True
*cydisk.net,True
*cydots.com,True
*cyl.me,True
*cz.cc,True
*cz.tc,True
*cz.tf,True
*damnserver.com,True
*damnserver.org,True
*darktech.org,True
*darweb.com,True
*ddisk.com,True
*ddisk.net,True
*ddns-example-1.com,True
*ddns-example-2.com,True
*ddns-example-3.com,True
*ddns.me,True
*ddns.net,True
*ddns01.com,True
*ddo.jp,True
*de.gg,True
*de.ms,True
*de.tc,True
*de.tf,True
*deaftone.com,True
*dhis.org,True
*dinedns.com,True
*dinedns.net,True
*dinedns.org,True
*ditchyourip.com,True
*dk.tc,True
*dlinkddns.com,True
*dns-gateway.net,True
*dns0755.net,True
*dns2go.com,True
*dns53.biz,True
*dnsalias.com,True
*dnsalias.net,True
*dnsalias.org,True
*dnsapi.info,True
*dnscog.com,True
*dnscog.org,True
*dnsd.info,True
*dnsd.me,True
*dnsdojo.com,True
*dnsdojo.net,True
*dnsdojo.org,True
*dnsdynamic.com,True
*dnsdynamic.net,True
*dnsdynamic.org,True
*dnserver.com,True
*dnsfor.me,True
*dnsforall.net,True
*dnsinc.org,True
*dnsiskinky.com,True
*dnssettings.info,True
*dnssettings.net,True
*dnssettings.org,True
*does-it.net,True
*doesntexist.com,True
*doesntexist.org,True
*dontexist.com,True
*dontexist.net,True
*dontexist.org,True
*doomdns.com,True
*doomdns.org,True
*dot.tk,True
*dotfree.com,True
*dtdns.com,True
*dtdns.net,True
*dvrcam.info,True
*dvrdns.org,True
*dy.fi,True
*dyn-inc.biz,True
*dyn-inc.com,True
*dyn-inc.info,True
*dyn-inc.org,True
*dyn-o-saur.com,True
*dyn.biz,True
*dyn.com,True
*dyn.mobi,True
*dynalias.com,True
*dynalias.net,True
*dynalias.org,True
*dynamic-dns-server.org,True
*dynamicdomain.net,True
*dynamicnetworkservices.biz,True
*dynamicnetworkservices.com,True
*dynamicnetworkservices.net,True
*dynamicnetworkservices.org,True
*dynamicnetworkservicesinc.com,True
*dynathome.net,True
*dyndn.org,True
*dyndns-at-home.com,True
*dyndns-at-work.com,True
*dyndns-blog.com,True
*dyndns-free.com,True
*dyndns-home.com,True
*dyndns-ip.com,True
*dyndns-mail.com,True
*dyndns-office.com,True
*dyndns-pics.com,True
*dyndns-remote.com,True
*dyndns-server.com,True
*dyndns-web.com,True
*dyndns-wiki.com,True
*dyndns-work.com,True
*dyndns.biz,True
*dyndns.cn,True
*dyndns.info,True
*dyndns.org.uk,True
*dyndns.tv,True
*dyndns.ws,True
*dynds.org,True
*dyndsn.net,True
*dyndsn.org,True
*dynect.biz,True
*dynect.com,True
*dynect.info,True
*dynect.net,True
*dynect.org,True
*dynforums.com,True
*dynlabs.info,True
*dynlabs.net,True
*dynns.com,True
*dynstatus.com,True
*dyntld.biz,True
*dyntld.info,True
*dyntld.net,True
*dyntld.org,True
*dynwifi.com,True
*dynwifi.net,True
*dzw.tv,True
*eating-organic.net,True
*editdns.net,True
*edu.tc,True
*edu.tf,True
*effers.com,True
*eicp.net,True
*emle.net,True
*endofinternet.net,True
*endofinternet.org,True
*endoftheinternet.org,True
*es.tc,True
*est-a-la-maison.com,True
*est-a-la-masion.com,True
*est-le-patron.com,True
*est-mon-blogueur.com,True
*etc.br.ms,True
*etc.br.tc,True
*etowns.net,True
*etowns.org,True
*eu.org,True
*eu.tc,True
*eu.tf,True
*europnic.com,True
*everydns.com,True
*everydns.net,True
*fantasyleague.cc,True
*fe100.net,True
*findhere.org,True
*flnet.org,True
*flu.cc,True
*fnb.cc,True
*for-better.biz,True
*for-more.biz,True
*for-our.info,True
*for-some.biz,True
*for-the.biz,True
*forgot.her.name,True
*forgot.his.name,True
*fr.am,True
*fr.cr,True
*fr.gg,True
*fr.ht,True
*fr.ms,True
*fr.mu,True
*fr.nf,True
*free,True
*free.editdns.net,True
*freeavailabledomains.com,True
*freeiz.com,True
*from-ak.com,True
*from-al.com,True
*from-ar.com,True
*from-az.net,True
*from-ca.com,True
*from-co.net,True
*from-ct.com,True
*from-dc.com,True
*from-de.com,True
*from-fl.com,True
*from-ga.com,True
*from-hi.com,True
